prod_code,	prod_limit,	new_balance,	highest_balance
10,	149600.0,	123636.0,	151828.0
10,	114400.0,	34710.0,	45893.0
10,	187000.0,	16760.4,	33212.0
10,	55000.0,	20155.2,	23255.0
10,	16500.0,	0.0,	14912.0
10,	55000.0,	8785.2,	49978.0
10,	39600.0,	28107.6,	33547.0
10,	119900.0,	57361.2,	110975.0
10,	108900.0,	0.0,	61849.0
10,	110000.0,	9745.2,	35599.0
10,	106700.0,	55129.2,	95477.0
10,	22000.0,	23274.0,	21181.0
10,	123200.0,	111025.2,	99276.0
10,	28600.0,	29221.2,	26149.0
10,	99000.0,	40146.0,	91483.0
10,	71500.0,	13002.0,	45567.0
10,	27500.0,	20373.6,	17478.0
10,	111100.0,	19570.8,	16871.0
10,	117700.0,	-68.4,	101343.0
10,	95700.0,	65472.0,	79435.0
10,	205700.0,	18355.2,	34626.0
10,	135300.0,	0.0,	4999.0
10,	108900.0,	5540.4,	29879.0
10,	57200.0,	42307.2,	53569.0
10,	57200.0,	49221.6,	53569.0
10,	117700.0,	0.0,	31142.0
10,	192500.0,	4038.0,	14919.0
10,	127600.0,	22935.6,	33800.0
10,	95700.0,	3781.2,	19050.0
10,	55000.0,	63217.2,	53532.0
10,	49500.0,	36621.6,	47888.0
10,	82500.0,	928.8,	71364.0
10,	129800.0,	1395.6,	15668.0
10,	128700.0,	1748.4,	14542.0
10,	30800.0,	34996.8,	30183.0
10,	118800.0,	1502.4,	80040.0
10,	135300.0,	46560.0,	99077.0
10,	116600.0,	25117.2,	32627.0
10,	55000.0,	18315.6,	50495.0
10,	550000.0,	322006.8,	511715.0
10,	174900.0,	682.8,	15767.0
10,	132000.0,	97563.6,	100140.0
10,	68200.0,	69543.6,	65051.0
10,	23100.0,	0.0,	26323.0
10,	170500.0,	35080.8,	29734.0
10,	138600.0,	31134.0,	32108.0
10,	110000.0,	80233.2,	107237.0
10,	96800.0,	48388.8,	40824.0
10,	82500.0,	0.0,	21815.0
10,	148500.0,	11727.6,	30566.0
10,	100100.0,	205.2,	48310.0
10,	97900.0,	-634.8,	8230.0
10,	68200.0,	68991.6,	62787.0
10,	44000.0,	10112.4,	28049.0
10,	189200.0,	181030.8,	173080.0
10,	67100.0,	7748.4,	57964.0
10,	56100.0,	5203.2,	5407.0
10,	45100.0,	32974.8,	36500.0
10,	112200.0,	-39.6,	6616.0
10,	119900.0,	112590.0,	110199.0
10,	69300.0,	44205.6,	50817.0
10,	108900.0,	21915.6,	46398.0
10,	59400.0,	15612.0,	24869.0
10,	110000.0,	20744.4,	22527.0
10,	96800.0,	83355.6,	86843.0
10,	27500.0,	15478.8,	25038.0
10,	58300.0,	24783.6,	47048.0
10,	44000.0,	16614.0,	37099.0
10,	371800.0,	34299.6,	63473.0
10,	112200.0,	494.4,	34147.0
10,	96800.0,	78274.8,	65729.0
10,	68200.0,	-64.8,	60282.0
10,	68200.0,	0.0,	56722.0
10,	137500.0,	124003.2,	124406.0
10,	55000.0,	0.0,	3806.0
10,	16500.0,	1225.2,	5869.0
10,	59400.0,	2845.2,	36508.0
10,	141900.0,	4701.6,	104099.0
10,	121000.0,	44623.2,	43869.0
10,	88000.0,	9465.6,	60500.0
10,	162800.0,	2924.4,	15122.0
10,	110000.0,	65830.8,	78468.0
10,	89100.0,	17511.6,	78895.0
10,	55000.0,	33940.8,	42594.0
10,	169400.0,	108369.6,	95995.0
10,	116600.0,	796.8,	13777.0
10,	44000.0,	41830.8,	42914.0
10,	16500.0,	13154.4,	15362.0
10,	22000.0,	20398.8,	20499.0
10,	93500.0,	3598.8,	5883.0
10,	74800.0,	0.0,	4078.0
10,	42900.0,	29329.2,	36036.0
10,	106700.0,	113962.8,	100642.0
10,	55000.0,	11038.8,	49733.0
10,	127600.0,	57337.2,	73257.0
10,	111100.0,	102517.2,	99359.0
10,	117700.0,	80874.0,	113238.0
10,	106700.0,	1200.0,	23703.0
10,	62700.0,	44241.6,	48948.0
10,	60500.0,	6657.6,	18934.0
10,	163900.0,	30520.8,	41674.0
10,	125400.0,	121910.4,	107265.0
10,	41250.0,	28812.0,	25168.0
10,	86900.0,	46146.0,	38955.0
10,	51700.0,	-1.2,	8442.0
10,	84700.0,	6171.6,	10850.0
10,	68200.0,	7033.2,	38590.0
10,	117700.0,	123812.4,	112104.0
10,	23100.0,	0.0,	1623.0
10,	55000.0,	-50.4,	32522.0
10,	85800.0,	88140.0,	81574.0
10,	23100.0,	25315.2,	26423.0
10,	57200.0,	31646.4,	48829.0
10,	33000.0,	36876.0,	32433.0
10,	152900.0,	31447.2,	87408.0
10,	68200.0,	47242.8,	42320.0
10,	59400.0,	55957.2,	54668.0
10,	36300.0,	19333.2,	28078.0
10,	36300.0,	19333.2,	28078.0
10,	16500.0,	-368.4,	11783.0
10,	122100.0,	2708.4,	46366.0
10,	82500.0,	1825.2,	75961.0
10,	96800.0,	13605.6,	17414.0
10,	124300.0,	47640.0,	66135.0
10,	61600.0,	46482.0,	39235.0
10,	110000.0,	17674.8,	15229.0
10,	77000.0,	24421.2,	37897.0
10,	42900.0,	44264.4,	39976.0
10,	108900.0,	159.6,	15569.0
10,	55000.0,	54009.6,	55550.0
10,	73700.0,	71998.8,	67589.0
10,	116600.0,	114518.4,	113011.0
10,	112200.0,	95124.0,	94930.0
10,	96800.0,	66190.8,	80063.0
10,	27500.0,	17472.0,	22461.0
10,	110000.0,	1633.2,	66585.0
10,	277200.0,	-1.2,	36329.0
10,	110000.0,	33213.6,	79000.0
10,	110000.0,	4071.6,	11415.0
10,	40700.0,	17528.4,	24807.0
10,	270600.0,	80.4,	6249.0
10,	170500.0,	51757.2,	111499.0
10,	75900.0,	32538.0,	49756.0
10,	156200.0,	74083.2,	89926.0
10,	100100.0,	25935.6,	53882.0
10,	55000.0,	-2.4,	49400.0
10,	152900.0,	19041.6,	90621.0
10,	20900.0,	0.0,	11600.0
10,	93500.0,	87729.6,	73608.0
10,	74800.0,	55550.4,	68213.0
10,	121000.0,	320730.0,	277557.0
10,	121000.0,	15066.0,	57617.0
10,	106700.0,	103191.6,	98670.0
10,	99000.0,	29239.2,	78912.0
10,	92400.0,	0.0,	17353.0
10,	55000.0,	23517.6,	38895.0
10,	50600.0,	7234.8,	47402.0
10,	82500.0,	1868.4,	81801.0
10,	82500.0,	1868.4,	81801.0
10,	55000.0,	57186.0,	50798.0
10,	214500.0,	84118.8,	156961.0
10,	57200.0,	46681.2,	54742.0
10,	110000.0,	64870.8,	114279.0
10,	57200.0,	92520.0,	123341.0
10,	162800.0,	48924.0,	87547.0
10,	94600.0,	-33.6,	89692.0
10,	75900.0,	44551.2,	62236.0
10,	36300.0,	14038.8,	17265.0
10,	30800.0,	1471.2,	14089.0
10,	91300.0,	54142.8,	62603.0
10,	198000.0,	199015.2,	180500.0
10,	126500.0,	30338.4,	55225.0
10,	44000.0,	540.0,	35218.0
10,	36300.0,	969.6,	18340.0
10,	155100.0,	7158.0,	32437.0
10,	107800.0,	238.8,	37303.0
10,	33000.0,	36072.0,	34389.0
10,	73700.0,	-4.8,	1060.0
10,	62700.0,	47877.6,	58393.0
10,	173800.0,	590.4,	10939.0
10,	133100.0,	2391.6,	8510.0
10,	46200.0,	19249.2,	49285.0
10,	249700.0,	82831.2,	214533.0
10,	119900.0,	133746.0,	114021.0
10,	92400.0,	47910.0,	67156.0
10,	17600.0,	18922.8,	16269.0
10,	96800.0,	25882.8,	69184.0
10,	82500.0,	15727.2,	57083.0
10,	165000.0,	97972.8,	85882.0
10,	134200.0,	32592.0,	57378.0
10,	165000.0,	1641.6,	69540.0
10,	117700.0,	110311.2,	107202.0
10,	88000.0,	12409.2,	36418.0
10,	55000.0,	6025.2,	50137.0
10,	228800.0,	14348.4,	55211.0
10,	11000.0,	13.2,	26377.0
10,	135300.0,	360.0,	48811.0
10,	79200.0,	147804.0,	177082.0
10,	11000.0,	9780.0,	10500.0
10,	40700.0,	33541.2,	41021.0
10,	165000.0,	505.2,	24844.0
10,	135300.0,	41614.8,	117013.0
10,	25300.0,	4299.6,	20167.0
10,	121000.0,	109609.2,	118129.0
10,	95700.0,	84577.2,	87389.0
10,	129800.0,	44272.8,	120357.0
10,	82500.0,	17002.8,	47359.0
10,	55000.0,	18867.6,	39836.0
10,	119900.0,	55591.2,	94856.0
10,	88000.0,	64806.0,	78205.0
10,	95700.0,	189802.8,	184308.0
10,	88000.0,	7699.2,	70494.0
10,	79200.0,	-12.0,	71592.0
10,	40700.0,	-42.0,	38084.0
10,	165000.0,	-54.0,	4825.0
10,	110000.0,	3530.4,	7318.0
10,	85800.0,	66283.2,	67011.0
10,	99000.0,	5311.2,	30410.0
10,	85800.0,	0.0,	50147.0
10,	27500.0,	25770.0,	27017.0
10,	11000.0,	0.0,	8156.0
10,	116600.0,	135378.0,	117060.0
10,	116600.0,	135378.0,	117060.0
10,	114400.0,	87037.2,	73030.0
10,	62700.0,	50032.8,	66251.0
10,	55000.0,	24220.8,	50060.0
10,	116600.0,	4662.0,	43032.0
10,	55000.0,	28540.8,	53295.0
10,	27500.0,	27253.2,	27528.0
10,	13200.0,	0.0,	6313.0
10,	77000.0,	5862.0,	15477.0
10,	149600.0,	106514.4,	134576.0
10,	148500.0,	0.0,	30821.0
10,	129800.0,	1633.2,	29993.0
10,	91300.0,	52260.0,	83135.0
10,	73700.0,	-673.2,	54987.0
10,	73700.0,	-1.2,	54987.0
10,	70400.0,	8629.2,	58726.0
10,	154000.0,	17078.4,	132613.0
10,	108900.0,	7514.4,	86340.0
10,	55000.0,	2193.6,	50490.0
10,	154000.0,	0.0,	18917.0
10,	140250.0,	0.0,	44145.0
10,	62700.0,	69159.6,	58132.0
10,	55000.0,	1833.6,	51049.0
10,	71500.0,	5689.2,	53617.0
10,	137500.0,	708.0,	2908.0
10,	137500.0,	0.0,	2908.0
10,	110000.0,	0.0,	2908.0
10,	73700.0,	19471.2,	39058.0
10,	27500.0,	1836.0,	2811.0
10,	134200.0,	673.2,	24117.0
10,	83600.0,	59222.4,	71760.0
10,	68200.0,	17772.0,	15661.0
10,	57200.0,	0.0,	12692.0
10,	58300.0,	890.4,	24619.0
10,	55000.0,	10900.8,	39730.0
10,	55000.0,	324123.6,	270603.0
10,	46200.0,	18600.0,	16000.0
10,	44000.0,	44740.8,	39873.0
10,	160600.0,	75727.2,	116847.0
10,	123200.0,	2211.6,	49048.0
10,	62700.0,	0.0,	53536.0
10,	62700.0,	1917.6,	53536.0
10,	91300.0,	102013.2,	91341.0
10,	49500.0,	13311.6,	24588.0
10,	169400.0,	12390.0,	24245.0
10,	55000.0,	50209.2,	46081.0
10,	55000.0,	0.0,	2068.0
10,	113300.0,	51854.4,	101008.0
10,	136400.0,	144000.0,	120500.0
10,	55220.0,	7710.0,	30863.0
10,	117700.0,	107318.4,	108103.0
10,	51700.0,	51997.2,	52171.0
10,	181500.0,	4926.0,	67504.0
10,	100100.0,	0.0,	2027.0
10,	82500.0,	87502.8,	73419.0
10,	82500.0,	0.0,	39899.0
10,	57200.0,	-480.0,	19406.0
10,	45100.0,	21166.8,	44000.0
10,	95700.0,	38995.2,	56131.0
10,	82500.0,	384.0,	33334.0
10,	55000.0,	-1200.0,	14210.0
10,	50600.0,	15786.0,	24465.0
10,	279400.0,	42562.8,	95539.0
10,	85800.0,	1234.8,	79347.0
10,	23100.0,	0.0,	27787.0
10,	247500.0,	260842.8,	217869.0
10,	130900.0,	63956.4,	70158.0
10,	62700.0,	42033.6,	43890.0
10,	57200.0,	18285.6,	15738.0
10,	122100.0,	21538.8,	83039.0
10,	68200.0,	15939.6,	14499.0
10,	62700.0,	52617.6,	56042.0
10,	73700.0,	88939.2,	74616.0
10,	330000.0,	312286.8,	305259.0
10,	192500.0,	31366.8,	87726.0
10,	141900.0,	4101.6,	56007.0
10,	55000.0,	24999.6,	50385.0
10,	95700.0,	103434.0,	86695.0
10,	82500.0,	49054.8,	57722.0
10,	82500.0,	27412.8,	47686.0
10,	73700.0,	27781.2,	59039.0
10,	55000.0,	52250.4,	53186.0
10,	148500.0,	1068.0,	28659.0
10,	123200.0,	44090.4,	81124.0
10,	110550.0,	28776.0,	52504.0
10,	36300.0,	21676.8,	38213.0
10,	11000.0,	9140.4,	51264.0
10,	77000.0,	0.0,	5952.0
10,	46200.0,	54164.4,	48526.0
10,	46200.0,	52006.8,	47381.0
10,	90200.0,	28447.2,	59336.0
10,	59400.0,	56792.4,	55283.0
10,	30800.0,	1861.2,	35367.0
10,	16500.0,	16111.2,	20264.0
10,	220000.0,	147440.4,	190343.0
