OVD_t1,	OVD_t2,	OVD_sum,	pay_normal,	prod_code,	prod_limit,	update_date,	new_balance,	highest_balance,	report_date
0,	0,	0,	2,	10,	118800.0,	18/03/2016,	12508.8,	12699.0,	25/04/2016
0,	0,	0,	2,	10,	88000.0,	18/03/2016,	10436.4,	9197.0,	05/10/2016
0,	0,	0,	2,	10,	68200.0,	16/03/2016,	55249.2,	46540.0,	14/04/2016
0,	0,	0,	2,	10,	55000.0,	14/03/2016,	9046.8,	8039.0,	22/04/2016
0,	0,	0,	2,	10,	69300.0,	13/03/2016,	35757.6,	32018.0,	22/04/2016
0,	0,	0,	2,	10,	49500.0,	13/03/2016,	11551.2,	10126.0,	25/04/2016
0,	0,	0,	3,	10,	48400.0,	13/03/2016,	11256.0,	19831.0,	05/11/2016
0,	0,	0,	3,	10,	110000.0,	04/03/2016,	114994.8,	100612.0,	20/05/2016
0,	0,	0,	2,	10,	66000.0,	04/03/2016,	33946.8,	28789.0,	13/05/2016
0,	0,	0,	2,	10,	45100.0,	04/03/2016,	53857.2,	45381.0,	19/05/2016
0,	0,	0,	4,	10,	151800.0,	01/03/2016,	-338.4,	13718.0,	13/04/2016
0,	0,	0,	5,	10,	115500.0,	01/03/2016,	52339.2,	47535.0,	25/04/2016
0,	0,	0,	4,	10,	40700.0,	01/03/2016,	17773.2,	16310.0,	19/03/2016
0,	0,	0,	4,	10,	105600.0,	29/02/2016,	12062.4,	14742.0,	14/05/2016
0,	0,	0,	3,	10,	99000.0,	29/02/2016,	11924.4,	10437.0,	16/05/2016
0,	0,	0,	2,	10,	383900.0,	23/02/2016,	-51.6,	2456.0,	14/03/2016
0,	0,	0,	2,	10,	68200.0,	22/02/2016,	11995.2,	10621.0,	18/03/2016
0,	0,	0,	2,	10,	174900.0,	20/02/2016,	153999.6,	128833.0,	19/03/2016
0,	0,	0,	2,	10,	27500.0,	15/02/2016,	1435.2,	1696.0,	03/05/2016
0,	0,	0,	4,	10,	111100.0,	14/02/2016,	5425.2,	12021.0,	17/05/2016
0,	0,	0,	4,	10,	42900.0,	14/02/2016,	43974.0,	38946.0,	28/05/2016
0,	0,	0,	2,	10,	113300.0,	13/02/2016,	7938.0,	7115.0,	24/03/2016
0,	0,	0,	2,	10,	16500.0,	04/02/2016,	14221.2,	13114.0,	05/04/2016
0,	0,	0,	3,	10,	106700.0,	02/02/2016,	26734.8,	22779.0,	04/12/2016
1,	0,	1,	3,	10,	178200.0,	29/01/2016,	3492.0,	7530.0,	14/03/2016
0,	0,	0,	4,	10,	44000.0,	27/01/2016,	47858.4,	43505.0,	15/05/2016
0,	0,	0,	5,	10,	69300.0,	26/01/2016,	32684.4,	42326.0,	22/05/2016
0,	0,	0,	2,	10,	194700.0,	24/01/2016,	-25.2,	8228.0,	27/02/2016
0,	0,	0,	2,	10,	61600.0,	23/01/2016,	26078.4,	49221.0,	21/02/2016
0,	0,	0,	1,	10,	55000.0,	23/01/2016,	57937.2,	49528.0,	15/02/2016
0,	0,	0,	2,	10,	103400.0,	20/01/2016,	12856.8,	28555.0,	18/03/2016
0,	0,	0,	4,	10,	55000.0,	19/01/2016,	14720.4,	40919.0,	25/04/2016
0,	0,	0,	2,	10,	24200.0,	17/01/2016,	6372.0,	5810.0,	16/03/2016
0,	0,	0,	3,	10,	63800.0,	16/01/2016,	-3667.2,	7579.0,	29/03/2016
0,	0,	0,	3,	10,	64900.0,	15/01/2016,	32218.8,	59369.0,	04/01/2016
0,	0,	0,	2,	10,	88000.0,	04/01/2016,	35060.4,	29717.0,	30/04/2016
0,	0,	0,	3,	10,	59400.0,	04/01/2016,	9432.0,	18532.0,	27/05/2016
0,	0,	0,	4,	10,	193600.0,	03/01/2016,	69610.8,	62929.0,	25/05/2016
0,	0,	0,	2,	10,	117700.0,	03/01/2016,	15718.8,	13598.0,	28/03/2016
0,	0,	0,	3,	10,	88000.0,	01/01/2016,	64660.8,	81133.0,	14/03/2016
0,	0,	0,	3,	10,	55000.0,	01/01/2016,	3652.8,	16071.0,	03/12/2016
0,	0,	0,	5,	10,	22000.0,	01/01/2016,	9480.0,	17204.0,	13/05/2016
0,	0,	0,	2,	10,	69300.0,	28/12/2015,	3676.8,	4045.0,	29/01/2016
0,	0,	0,	3,	10,	110000.0,	26/12/2015,	18681.6,	16067.0,	18/02/2016
0,	0,	0,	5,	10,	77000.0,	26/12/2015,	51295.2,	69058.0,	05/08/2016
0,	0,	0,	3,	10,	22000.0,	25/12/2015,	33.6,	13334.0,	17/02/2016
0,	0,	0,	2,	10,	105600.0,	23/12/2015,	4492.8,	4243.0,	01/11/2016
0,	0,	0,	6,	10,	215600.0,	20/12/2015,	49579.2,	55658.0,	21/05/2016
0,	0,	0,	5,	10,	143000.0,	20/12/2015,	117872.4,	98727.0,	05/05/2016
0,	0,	0,	3,	10,	46200.0,	19/12/2015,	18438.0,	15865.0,	22/02/2016
0,	0,	0,	4,	10,	22000.0,	18/12/2015,	6144.0,	6712.0,	28/03/2016
0,	0,	0,	2,	10,	172700.0,	16/12/2015,	13507.2,	37412.0,	22/01/2016
0,	0,	0,	4,	10,	111100.0,	16/12/2015,	103656.0,	86880.0,	27/03/2016
0,	0,	0,	3,	10,	105600.0,	16/12/2015,	122484.0,	102569.0,	13/02/2016
0,	0,	0,	3,	10,	72600.0,	16/12/2015,	85938.0,	72114.0,	27/01/2016
0,	0,	0,	5,	10,	44000.0,	13/12/2015,	7956.0,	34990.0,	04/11/2016
0,	0,	0,	8,	10,	57200.0,	10/12/2015,	41892.0,	35410.0,	13/05/2016
0,	0,	0,	2,	10,	115500.0,	09/12/2015,	5956.8,	6690.0,	10/09/2015
0,	0,	0,	7,	10,	105600.0,	09/12/2015,	104.4,	81060.0,	04/01/2016
0,	0,	0,	9,	10,	101200.0,	09/12/2015,	65625.6,	94867.0,	13/05/2016
0,	0,	0,	4,	10,	78100.0,	09/12/2015,	0.0,	1060.0,	25/10/2015
0,	0,	0,	2,	10,	36300.0,	09/12/2015,	23988.0,	20490.0,	10/10/2015
0,	0,	0,	5,	10,	22000.0,	09/12/2015,	8682.0,	11134.0,	16/12/2015
0,	0,	0,	7,	10,	82500.0,	07/12/2015,	38584.8,	43492.0,	22/03/2016
0,	0,	0,	14,	10,	97350.0,	04/12/2015,	75566.4,	64008.0,	20/05/2016
0,	0,	0,	14,	10,	110000.0,	01/12/2015,	684.0,	1436.0,	18/03/2015
0,	0,	0,	16,	10,	82500.0,	01/12/2015,	73298.4,	61582.0,	30/03/2016
0,	0,	0,	10,	10,	20680.0,	01/12/2015,	1962.0,	12852.0,	25/09/2015
0,	0,	0,	4,	10,	106700.0,	29/11/2015,	41917.2,	35430.0,	28/02/2016
0,	0,	0,	4,	10,	88000.0,	28/11/2015,	48170.4,	65851.0,	21/02/2016
0,	0,	0,	7,	10,	88000.0,	27/11/2015,	4034.4,	76409.0,	20/05/2016
0,	0,	0,	3,	10,	119900.0,	25/11/2015,	11221.2,	50754.0,	02/09/2016
0,	0,	0,	5,	10,	88000.0,	24/11/2015,	8601.6,	75926.0,	04/10/2016
0,	0,	0,	3,	10,	88000.0,	23/11/2015,	452.4,	2288.0,	19/02/2016
0,	0,	0,	2,	10,	33000.0,	21/11/2015,	0.0,	781.0,	16/01/2016
0,	0,	0,	5,	10,	40700.0,	20/11/2015,	8257.2,	13119.0,	19/03/2016
0,	0,	0,	7,	10,	20900.0,	16/11/2015,	1146.0,	3523.0,	23/04/2016
0,	0,	0,	3,	10,	110000.0,	15/11/2015,	18552.0,	15960.0,	29/12/2015
0,	0,	0,	4,	10,	35200.0,	15/11/2015,	36152.4,	30627.0,	27/02/2016
0,	0,	0,	3,	10,	223300.0,	14/11/2015,	124366.8,	104139.0,	26/12/2015
0,	0,	0,	2,	10,	94600.0,	14/11/2015,	11041.2,	11435.0,	23/12/2015
0,	0,	0,	7,	10,	88000.0,	13/11/2015,	3859.2,	21100.0,	25/05/2016
1,	0,	1,	4,	10,	36300.0,	13/11/2015,	4006.8,	5441.0,	20/04/2016
0,	0,	0,	2,	10,	97900.0,	12/11/2015,	129.6,	1381.0,	13/01/2016
0,	0,	0,	5,	10,	46200.0,	12/11/2015,	46047.6,	42271.0,	04/01/2016
0,	0,	0,	5,	10,	24200.0,	12/11/2015,	0.0,	15664.0,	19/03/2016
0,	0,	0,	6,	10,	102300.0,	11/11/2015,	7855.2,	13676.0,	20/04/2016
0,	0,	0,	4,	10,	67100.0,	11/11/2015,	29358.0,	24965.0,	16/02/2016
0,	0,	0,	7,	10,	44000.0,	10/11/2015,	0.0,	3869.0,	25/02/2016
0,	0,	0,	7,	10,	42900.0,	10/11/2015,	18499.2,	38338.0,	26/04/2016
0,	0,	0,	7,	10,	99000.0,	09/11/2015,	22237.2,	57489.0,	25/03/2016
0,	0,	0,	5,	10,	55000.0,	09/11/2015,	11799.6,	29586.0,	23/01/2016
0,	0,	0,	5,	10,	55000.0,	09/11/2015,	4646.4,	26327.0,	18/01/2016
0,	0,	0,	2,	10,	168300.0,	08/11/2015,	11156.4,	23305.0,	19/09/2015
0,	0,	0,	2,	10,	55000.0,	08/11/2015,	41737.2,	51205.0,	21/10/2015
0,	0,	0,	7,	10,	39600.0,	08/11/2015,	-1.2,	8637.0,	20/11/2015
0,	0,	0,	8,	10,	37400.0,	08/11/2015,	6158.4,	11968.0,	04/01/2016
0,	0,	0,	6,	10,	31900.0,	08/11/2015,	6634.8,	11473.0,	18/01/2016
0,	0,	0,	6,	10,	102300.0,	07/11/2015,	42679.2,	36066.0,	12/02/2015
0,	0,	0,	9,	10,	62700.0,	07/11/2015,	17664.0,	55655.0,	17/02/2016
0,	0,	0,	8,	10,	138600.0,	05/11/2015,	131935.2,	110446.0,	12/01/2015
0,	0,	0,	6,	10,	40700.0,	04/11/2015,	-34.8,	14571.0,	30/06/2015
0,	0,	0,	17,	10,	69300.0,	01/11/2015,	48396.0,	49736.0,	17/05/2016
0,	0,	0,	13,	10,	68200.0,	01/11/2015,	4190.4,	23105.0,	21/01/2016
0,	0,	0,	14,	10,	19800.0,	01/11/2015,	0.0,	13797.0,	14/02/2016
0,	0,	0,	3,	10,	50600.0,	31/10/2015,	56550.0,	47624.0,	14/12/2015
0,	0,	0,	6,	10,	69300.0,	30/10/2015,	-1.2,	7858.0,	27/01/2016
0,	0,	0,	7,	10,	114400.0,	28/10/2015,	89700.0,	83562.0,	21/05/2016
0,	0,	0,	5,	10,	91300.0,	28/10/2015,	182.4,	9176.0,	20/02/2016
0,	0,	0,	3,	10,	40700.0,	27/10/2015,	4305.6,	25715.0,	22/12/2015
0,	0,	0,	5,	10,	39600.0,	27/10/2015,	25215.6,	29814.0,	13/03/2016
0,	0,	0,	2,	10,	99000.0,	25/10/2015,	40957.2,	37131.0,	14/12/2015
0,	0,	0,	5,	10,	57200.0,	23/10/2015,	14529.6,	24664.0,	22/05/2016
0,	0,	0,	6,	10,	55000.0,	23/10/2015,	20966.4,	17972.0,	29/03/2016
0,	0,	0,	2,	10,	23100.0,	21/10/2015,	4140.0,	11448.0,	15/12/2015
0,	0,	0,	6,	10,	184800.0,	19/10/2015,	209924.4,	180200.0,	21/03/2016
0,	0,	0,	2,	10,	74800.0,	19/10/2015,	28558.8,	69527.0,	12/01/2015
0,	0,	0,	3,	10,	61600.0,	19/10/2015,	56997.6,	47997.0,	14/12/2015
0,	0,	0,	4,	10,	154000.0,	16/10/2015,	17649.6,	15208.0,	14/12/2015
0,	0,	0,	3,	10,	121000.0,	16/10/2015,	25731.6,	28472.0,	12/06/2015
0,	0,	0,	4,	10,	165000.0,	13/10/2015,	12007.2,	61490.0,	27/12/2015
0,	0,	0,	6,	10,	180400.0,	11/10/2015,	28890.0,	64187.0,	26/04/2016
0,	0,	0,	5,	10,	111100.0,	11/10/2015,	4242.0,	6513.0,	29/03/2016
0,	0,	0,	4,	10,	103400.0,	11/10/2015,	44084.4,	51151.0,	19/02/2016
0,	0,	0,	2,	10,	72600.0,	11/10/2015,	38484.0,	32570.0,	20/12/2015
0,	0,	0,	6,	10,	111100.0,	10/10/2015,	0.0,	18437.0,	21/11/2015
0,	0,	0,	5,	10,	55000.0,	10/10/2015,	6069.6,	21544.0,	01/10/2016
0,	0,	0,	4,	10,	161700.0,	08/10/2015,	36333.6,	73513.0,	21/11/2015
1,	0,	30,	4,	10,	112200.0,	08/10/2015,	27194.4,	24917.0,	28/11/2015
0,	0,	0,	7,	10,	144100.0,	07/10/2015,	123213.6,	104391.0,	01/04/2016
0,	0,	0,	6,	10,	100100.0,	07/10/2015,	-1.2,	28746.0,	23/11/2015
0,	0,	0,	8,	10,	106700.0,	06/10/2015,	35824.8,	96073.0,	17/01/2016
0,	0,	0,	7,	10,	67100.0,	06/10/2015,	14257.2,	39861.0,	13/12/2015
0,	0,	0,	10,	10,	117700.0,	05/10/2015,	61747.2,	104100.0,	02/09/2016
0,	0,	0,	9,	10,	55000.0,	04/10/2015,	22269.6,	29594.0,	25/12/2015
0,	0,	0,	12,	10,	118800.0,	02/10/2015,	49240.8,	95536.0,	20/01/2016
0,	0,	0,	14,	10,	110000.0,	02/10/2015,	-2.4,	67676.0,	23/03/2016
0,	0,	0,	11,	10,	86900.0,	02/10/2015,	4465.2,	41558.0,	12/07/2015
2,	0,	18,	11,	10,	70400.0,	01/10/2015,	41290.8,	51621.0,	12/12/2015
0,	0,	0,	4,	10,	38500.0,	30/09/2015,	0.0,	35210.0,	24/01/2016
0,	0,	0,	6,	10,	57200.0,	29/09/2015,	11898.0,	44258.0,	26/02/2016
0,	0,	0,	5,	10,	55000.0,	29/09/2015,	13824.0,	24992.0,	22/01/2016
0,	0,	0,	5,	10,	99000.0,	28/09/2015,	40339.2,	89151.0,	02/01/2016
0,	0,	0,	6,	10,	42900.0,	28/09/2015,	44766.0,	39451.0,	26/02/2016
0,	0,	0,	7,	10,	36300.0,	28/09/2015,	21268.8,	32796.0,	29/03/2016
0,	0,	0,	4,	10,	183700.0,	27/09/2015,	207001.2,	178169.0,	12/12/2015
0,	0,	0,	5,	10,	40700.0,	27/09/2015,	45039.6,	38905.0,	02/08/2016
0,	0,	0,	7,	10,	67100.0,	25/09/2015,	35470.8,	47575.0,	18/04/2016
0,	0,	0,	6,	10,	34100.0,	25/09/2015,	-1370.4,	31619.0,	02/09/2016
0,	0,	0,	3,	10,	114400.0,	21/09/2015,	111727.2,	100479.0,	10/11/2015
0,	0,	0,	7,	10,	84700.0,	20/09/2015,	2948.4,	47442.0,	30/03/2016
0,	0,	0,	5,	10,	66000.0,	20/09/2015,	48414.0,	60865.0,	13/01/2016
0,	0,	0,	3,	10,	62700.0,	18/09/2015,	7803.6,	35189.0,	12/02/2015
0,	0,	0,	3,	10,	123200.0,	16/09/2015,	127846.8,	107039.0,	23/10/2015
0,	0,	0,	2,	10,	67100.0,	15/09/2015,	70957.2,	61396.0,	26/02/2016
0,	0,	0,	7,	10,	38500.0,	15/09/2015,	41998.8,	38352.0,	13/03/2016
0,	0,	0,	6,	10,	26400.0,	15/09/2015,	14509.2,	21585.0,	17/04/2016
0,	0,	0,	3,	10,	107800.0,	14/09/2015,	2176.8,	98264.0,	13/11/2015
0,	0,	0,	2,	10,	63800.0,	14/09/2015,	51741.6,	44237.0,	23/10/2015
0,	0,	0,	2,	10,	193600.0,	13/09/2015,	10698.0,	10851.0,	17/10/2015
0,	0,	0,	4,	10,	125400.0,	13/09/2015,	79893.6,	67078.0,	12/05/2015
0,	0,	0,	8,	10,	42900.0,	13/09/2015,	1297.2,	30815.0,	17/04/2016
0,	0,	0,	4,	10,	77000.0,	11/09/2015,	8042.4,	57680.0,	02/12/2016
0,	0,	0,	7,	10,	46200.0,	11/09/2015,	54134.4,	48356.0,	18/05/2016
0,	0,	0,	7,	10,	82500.0,	10/09/2015,	13498.8,	32390.0,	29/03/2016
0,	0,	0,	5,	10,	66000.0,	10/09/2015,	-10.8,	18191.0,	16/01/2016
0,	0,	0,	2,	10,	49500.0,	09/09/2015,	48249.6,	43795.0,	17/10/2015
0,	0,	0,	5,	10,	33000.0,	09/09/2015,	34947.6,	30446.0,	01/03/2016
0,	0,	0,	4,	10,	124300.0,	08/09/2015,	2.4,	10218.0,	11/11/2015
0,	0,	0,	9,	10,	40700.0,	08/09/2015,	26590.8,	35084.0,	24/03/2016
0,	0,	0,	8,	10,	330000.0,	06/09/2015,	234530.4,	204548.0,	30/12/2015
0,	0,	0,	5,	10,	82500.0,	06/09/2015,	0.0,	9409.0,	28/08/2015
0,	0,	0,	7,	10,	77000.0,	05/09/2015,	3402.0,	11494.0,	11/06/2015
0,	0,	0,	3,	10,	105600.0,	31/08/2015,	41834.4,	36377.0,	11/04/2015
0,	0,	0,	8,	10,	95700.0,	30/08/2015,	105087.6,	90947.0,	04/01/2016
0,	0,	0,	7,	10,	80300.0,	30/08/2015,	44738.4,	65431.0,	20/02/2016
0,	0,	0,	5,	10,	22000.0,	30/08/2015,	7069.2,	13973.0,	20/12/2015
0,	0,	0,	4,	10,	51700.0,	29/08/2015,	1273.2,	6455.0,	22/11/2015
0,	0,	0,	4,	10,	77000.0,	24/08/2015,	85786.8,	78187.0,	12/05/2015
0,	0,	0,	4,	10,	55000.0,	24/08/2015,	14445.6,	25660.0,	12/01/2015
0,	0,	0,	2,	10,	77000.0,	23/08/2015,	0.0,	3137.0,	26/09/2015
0,	0,	0,	5,	10,	56100.0,	23/08/2015,	60302.4,	50869.0,	16/02/2016
0,	0,	0,	4,	10,	22000.0,	23/08/2015,	12271.2,	21365.0,	13/12/2015
0,	0,	0,	8,	10,	107800.0,	22/08/2015,	20787.6,	47482.0,	29/03/2016
0,	0,	0,	7,	10,	41800.0,	22/08/2015,	44079.6,	43741.0,	20/02/2016
0,	0,	0,	9,	10,	122100.0,	21/08/2015,	4759.2,	30497.0,	29/04/2016
0,	0,	0,	10,	10,	49500.0,	21/08/2015,	31662.0,	26885.0,	20/05/2016
0,	0,	0,	6,	10,	40700.0,	21/08/2015,	26893.2,	39499.0,	25/03/2016
0,	0,	0,	6,	10,	100100.0,	19/08/2015,	360.0,	56759.0,	27/01/2016
0,	0,	0,	9,	10,	85800.0,	19/08/2015,	84360.0,	75824.0,	28/04/2016
0,	0,	0,	6,	10,	59400.0,	19/08/2015,	2466.0,	50768.0,	22/01/2016
0,	0,	0,	5,	10,	16500.0,	19/08/2015,	12385.2,	11759.0,	20/11/2015
0,	0,	0,	6,	10,	102300.0,	18/08/2015,	74949.6,	90029.0,	25/01/2016
0,	0,	0,	3,	10,	40700.0,	18/08/2015,	2881.2,	3875.0,	30/10/2015
0,	0,	0,	8,	10,	33000.0,	18/08/2015,	2277.6,	6873.0,	20/03/2016
0,	0,	0,	8,	10,	275000.0,	17/08/2015,	4101.6,	36093.0,	23/05/2016
0,	0,	0,	8,	10,	84700.0,	17/08/2015,	13212.0,	37847.0,	20/03/2016
0,	0,	0,	5,	10,	84700.0,	17/08/2015,	90494.4,	79848.0,	12/05/2015
0,	0,	0,	5,	10,	79200.0,	17/08/2015,	8623.2,	7686.0,	13/12/2015
0,	0,	0,	8,	10,	39600.0,	17/08/2015,	12138.0,	36500.0,	24/01/2016
0,	0,	0,	5,	10,	134200.0,	16/08/2015,	83025.6,	94749.0,	14/12/2015
0,	0,	0,	5,	10,	118800.0,	16/08/2015,	82926.0,	91527.0,	01/04/2016
0,	0,	0,	8,	10,	46200.0,	16/08/2015,	20281.2,	44182.0,	13/03/2016
0,	0,	0,	5,	10,	45100.0,	16/08/2015,	40809.6,	35820.0,	28/12/2015
0,	0,	0,	8,	10,	110000.0,	15/08/2015,	1521.6,	39103.0,	24/01/2016
0,	0,	0,	6,	10,	83600.0,	15/08/2015,	307.2,	11085.0,	26/12/2015
0,	0,	0,	3,	10,	79200.0,	15/08/2015,	41946.0,	35455.0,	10/06/2015
0,	0,	0,	5,	10,	16500.0,	15/08/2015,	5718.0,	15077.0,	15/12/2015
0,	0,	0,	8,	10,	127600.0,	13/08/2015,	56220.0,	47400.0,	23/01/2016
0,	0,	0,	9,	10,	95700.0,	13/08/2015,	68991.6,	61289.0,	04/12/2016
0,	0,	0,	8,	10,	48400.0,	13/08/2015,	37948.8,	35349.0,	03/04/2016
0,	0,	0,	7,	10,	37400.0,	13/08/2015,	38227.2,	34086.0,	27/02/2016
0,	0,	0,	6,	10,	13200.0,	12/08/2015,	11414.4,	11156.0,	13/05/2016
0,	0,	0,	5,	10,	158400.0,	11/08/2015,	1126.8,	6970.0,	20/03/2016
0,	0,	0,	3,	10,	63800.0,	11/08/2015,	638.4,	36225.0,	01/12/2016
0,	0,	0,	9,	10,	33000.0,	07/08/2015,	30992.4,	33515.0,	26/02/2016
0,	0,	0,	13,	10,	114400.0,	05/08/2015,	91060.8,	107556.0,	14/05/2016
3,	0,	3,	9,	10,	82500.0,	05/08/2015,	16772.4,	74374.0,	30/04/2016
0,	0,	0,	9,	10,	63800.0,	05/08/2015,	963.6,	28392.0,	13/01/2016
0,	0,	0,	11,	10,	68750.0,	03/08/2015,	49105.2,	62345.0,	01/12/2016
0,	0,	0,	14,	10,	41250.0,	03/08/2015,	20061.6,	17218.0,	21/03/2016
0,	0,	0,	13,	10,	20680.0,	03/08/2015,	151.2,	2887.0,	24/10/2015
0,	0,	0,	9,	10,	183700.0,	02/08/2015,	5431.2,	8358.0,	10/03/2015
0,	0,	0,	4,	10,	77000.0,	29/07/2015,	2642.4,	12832.0,	03/12/2016
0,	0,	0,	3,	10,	44000.0,	29/07/2015,	9981.6,	17429.0,	21/09/2015
0,	0,	0,	10,	10,	44000.0,	29/07/2015,	15770.4,	41586.0,	05/07/2016
0,	0,	0,	3,	10,	148500.0,	28/07/2015,	0.0,	1848.0,	25/09/2015
0,	0,	0,	8,	10,	108900.0,	28/07/2015,	-4.8,	97319.0,	23/02/2016
0,	0,	0,	8,	10,	39600.0,	28/07/2015,	43479.6,	36733.0,	02/10/2016
0,	0,	0,	5,	10,	64900.0,	26/07/2015,	15432.0,	16376.0,	26/11/2015
0,	0,	0,	6,	10,	114400.0,	25/07/2015,	60709.2,	84500.0,	27/12/2015
0,	0,	0,	9,	10,	28600.0,	25/07/2015,	13276.8,	18935.0,	21/03/2016
0,	0,	0,	6,	10,	60500.0,	24/07/2015,	21882.0,	18735.0,	18/12/2015
0,	0,	0,	3,	10,	55000.0,	24/07/2015,	42961.2,	51368.0,	29/09/2015
0,	0,	0,	5,	10,	113300.0,	22/07/2015,	6244.8,	29765.0,	27/11/2015
0,	0,	0,	8,	10,	41800.0,	22/07/2015,	471.6,	44875.0,	19/02/2016
0,	0,	0,	4,	10,	121000.0,	21/07/2015,	35802.0,	30475.0,	14/10/2015
0,	0,	0,	5,	10,	124300.0,	20/07/2015,	110774.4,	111556.0,	12/04/2015
0,	0,	0,	4,	10,	283800.0,	19/07/2015,	3472.8,	40470.0,	24/10/2015
0,	0,	0,	9,	10,	46200.0,	19/07/2015,	26989.2,	30804.0,	03/06/2016
0,	0,	0,	1,	10,	44000.0,	19/07/2015,	34393.2,	40045.0,	26/04/2016
0,	0,	0,	7,	10,	91300.0,	18/07/2015,	22771.2,	51623.0,	01/02/2016
0,	0,	0,	5,	10,	80300.0,	18/07/2015,	-2110.8,	7966.0,	21/10/2015
0,	0,	0,	6,	10,	45100.0,	18/07/2015,	8898.0,	18236.0,	16/12/2015
0,	0,	0,	3,	10,	22000.0,	18/07/2015,	43.2,	5500.0,	08/07/2015
0,	0,	0,	8,	10,	269500.0,	15/07/2015,	32395.2,	251668.0,	14/02/2016
0,	0,	0,	11,	10,	72600.0,	15/07/2015,	78166.8,	66866.0,	06/03/2016
0,	0,	0,	6,	10,	68750.0,	15/07/2015,	-3.6,	50477.0,	22/11/2015
1,	0,	30,	8,	10,	49500.0,	14/07/2015,	48776.4,	51442.0,	19/03/2016
0,	0,	0,	6,	10,	69300.0,	12/07/2015,	84460.8,	70883.0,	13/05/2016
0,	0,	0,	4,	10,	61600.0,	12/07/2015,	30898.8,	26249.0,	20/03/2016
0,	0,	0,	2,	10,	72600.0,	11/07/2015,	30222.0,	65852.0,	23/12/2015
0,	0,	0,	2,	10,	55000.0,	11/07/2015,	10740.0,	27499.0,	22/01/2016
0,	0,	0,	7,	10,	115500.0,	10/07/2015,	28222.8,	31870.0,	04/12/2016
0,	0,	0,	2,	10,	125400.0,	09/07/2015,	135097.2,	113080.0,	30/09/2015
0,	0,	0,	3,	10,	69300.0,	09/07/2015,	8596.8,	25587.0,	14/11/2015
0,	0,	0,	8,	10,	187000.0,	08/07/2015,	7953.6,	43451.0,	03/12/2016
0,	0,	0,	9,	10,	89100.0,	08/07/2015,	92748.0,	82705.0,	23/04/2016
0,	0,	0,	2,	10,	86900.0,	08/07/2015,	-34.8,	2570.0,	24/09/2015
0,	0,	0,	3,	10,	16500.0,	08/07/2015,	-3.6,	16337.0,	13/03/2016
